Framework,Hardware,Model_Size,Avg_MIE,Cases
vLLM,1×L20,14B,5.2770683002232275,1
vLLM,1×L20,3B,1.2272185622878895,1
vLLM,1×H800,14B,14.924516188170898,2
vLLM,1×H800,8B,8.73560622303125,1
vLLM,1×H800,7B,8.240071516430051,1
vLLM,1×H800,3B,4.768500290046057,2
vLLM,1×H800,4B,5.9533690939621895,1
vLLM,1×A100,32B,22.939392414813927,1
vLLM,1×A100,14B,10.975654176965154,1
SGLang,1×H800,14B,49.172686,1
SGLang,1×H800,32B,109.000939,1
SGLang,1×H20,14B,4.8702665,2
SGLang,1×H20,8B,2.8585599999999998,2
SGLang,1×H20,7B,2.532723,1
SGLang,1×H20,3B,1.449754,1
SGLang,1×H20,4B,1.833338,1
RTP-LLM,1×custom accelerator,3B,7.373466697692857,1
RTP-LLM,1×custom accelerator,32B,163.76683771006998,1
RTP-LLM,1×custom accelerator,7B,2.60963884415,1
