framework,operator,bottleneck_score,efficiency,time_proportion,case_id,model,hardware,operator_category
vLLM,activation,0.0805238837588503,0.0012090963017557,0.0806213627503943,1,Qwen2.5-14B,L20,Activation
SGLang,attention,0.1546400953125545,0.0488915832576645,0.1625893458520912,1,Qwen3-14B,H800,Attention
vLLM,down_proj,0.2115358749031714,0.0378794662714335,0.2198642139809584,1,Qwen2.5-14B,L20,Linear (MLP projections)
SGLang,down_proj,0.1703903496668284,0.1605549054634876,0.2029797431372293,1,Qwen3-14B,H800,Linear (MLP projections)
SGLang,gate_proj,0.1128712325227519,0.1261532110581492,0.1291659292579523,1,Qwen3-14B,H800,Linear (MLP projections)
vLLM,gate_proj,0.2104667468338177,0.0380645618391616,0.21879508591160465,1,Qwen2.5-14B,L20,Linear (MLP projections)
vLLM,o_proj,0.0792407358788963,0.0374680664080137,0.0823253059077063,1,Qwen2.5-14B,L20,Linear (o_proj)
SGLang,o_proj,0.170109051909162,0.0533412734130471,0.1796941676357505,1,Qwen3-14B,H800,Linear (o_proj)
vLLM,qkv_proj,0.1119072785670746,0.0371552841539553,0.1162256766074086,1,Qwen2.5-14B,L20,Linear (qkv_proj)
SGLang,qkv_proj,0.1710278307589864,0.0727534876836152,0.1844469927762103,1,Qwen3-14B,H800,Linear (qkv_proj)
vLLM,up_proj,0.2104667468338177,0.0380645618391616,0.21879508591160465,1,Qwen2.5-14B,L20,Linear (MLP projections)
vLLM,activation,0.0637080878706008,0.0051525760101308,0.0640380487845034,2,Qwen2.5-3B,L20,Activation
SGLang,attention,0.134253049956063,0.2460063665598967,0.1780559463659291,2,Qwen2.5-3B,A100,Attention
vLLM,down_proj,0.2348248054049757,0.0368301480898909,0.2438041482914807,2,Qwen2.5-3B,L20,Linear (MLP projections)
SGLang,gate_proj,0.0297300298454727,0.7927102962416962,0.1434226076184539,2,Qwen2.5-3B,A100,Linear (MLP projections)
vLLM,gate_proj,0.22742737987696882,0.0379826038005224,0.2364067227634738,2,Qwen2.5-3B,L20,Linear (MLP projections)
vLLM,o_proj,0.0496168161906299,0.0325728286867018,0.051287391611375,2,Qwen2.5-3B,L20,Linear (o_proj)
SGLang,o_proj,0.0569933571542947,0.5398987749928592,0.1238713440795778,2,Qwen2.5-3B,A100,Linear (o_proj)
vLLM,qkv_proj,0.0582648482378558,0.0346000520264251,0.0603530675137872,2,Qwen2.5-3B,L20,Linear (qkv_proj)
SGLang,qkv_proj,0.0388797806698028,0.706587539621291,0.132508962365199,2,Qwen2.5-3B,A100,Linear (qkv_proj)
SGLang,up_proj,0.0297300298454727,0.7927102962416962,0.1434226076184539,2,Qwen2.5-3B,A100,Linear (MLP projections)
vLLM,up_proj,0.22742737987696882,0.0379826038005224,0.2364067227634738,2,Qwen2.5-3B,L20,Linear (MLP projections)
SGLang,attention,0.134253049956063,0.2460063665598967,0.1780559463659291,3,Qwen2.5-3B,A800,Attention
vLLM,down_proj,0.2274665667120165,0.0421154654432875,0.2374676263222925,3,Qwen3-14B,H800,Linear (MLP projections)
SGLang,gate_proj,0.0297300298454727,0.7927102962416962,0.1434226076184539,3,Qwen2.5-3B,A800,Linear (MLP projections)
vLLM,gate_proj,0.22664636625233556,0.0422614341728874,0.23664742586261156,3,Qwen3-14B,H800,Linear (MLP projections)
vLLM,lm_head,0.0305275056145572,0.0431084609701067,0.031902785602542,3,Qwen3-14B,H800,Other
vLLM,o_proj,0.0837787249541932,0.0216283003228817,0.0856307730301703,3,Qwen3-14B,H800,Linear (o_proj)
SGLang,o_proj,0.0569933571542947,0.5398987749928592,0.1238713440795778,3,Qwen2.5-3B,A800,Linear (o_proj)
vLLM,qkv_proj,0.1143759635732383,0.0221671644220899,0.1169688308796062,3,Qwen3-14B,H800,Linear (qkv_proj)
SGLang,qkv_proj,0.0388797806698028,0.706587539621291,0.132508962365199,3,Qwen2.5-3B,A800,Linear (qkv_proj)
SGLang,up_proj,0.0297300298454727,0.7927102962416962,0.1434226076184539,3,Qwen2.5-3B,A800,Linear (MLP projections)
vLLM,up_proj,0.22664636625233556,0.0422614341728874,0.23664742586261156,3,Qwen3-14B,H800,Linear (MLP projections)
vLLM,activation,0.1310097246256737,0.000497231029559,0.1310748991327188,4,Qwen2.5-14B,H800,Activation
vLLM,down_proj,0.2002539436840134,0.0261887134245012,0.2056393743270584,4,Qwen2.5-14B,H800,Linear (MLP projections)
SGLang,down_proj,0.0644877633908944,0.7229213189445495,0.2327417004630133,4,Qwen3-14B,H20,Linear (MLP projections)
SGLang,gate_proj,0.058919818840546,0.5881080594601173,0.1430467873766054,4,Qwen3-14B,H20,Linear (MLP projections)
vLLM,gate_proj,0.18433750231718773,0.0283857652789602,0.1897229329602328,4,Qwen2.5-14B,H800,Linear (MLP projections)
vLLM,o_proj,0.0929062148283197,0.0210177737949624,0.0949008187701883,4,Qwen2.5-14B,H800,Linear (o_proj)
SGLang,o_proj,0.1406999104535621,0.2601997925655316,0.190186362533597,4,Qwen3-14B,H20,Linear (o_proj)
vLLM,qkv_proj,0.119223119397318,0.022885977871265,0.122015564915934,4,Qwen2.5-14B,H800,Linear (qkv_proj)
SGLang,qkv_proj,0.1283682951036356,0.3505250111781361,0.1976493280156845,4,Qwen3-14B,H20,Linear (qkv_proj)
SGLang,up_proj,0.058919818840546,0.5881080594601173,0.1430467873766054,4,Qwen3-14B,H20,Linear (MLP projections)
vLLM,up_proj,0.18433750231718773,0.0283857652789602,0.1897229329602328,4,Qwen2.5-14B,H800,Linear (MLP projections)
vLLM,down_proj,0.2077792000675427,0.0575385811314625,0.2204644093728419,5,Llama-3.1-8B,H800,Linear (MLP projections)
SGLang,down_proj,0.0654844016778868,0.7080259075508061,0.2242815488476316,5,Llama-3.1-8B,H20,Linear (MLP projections)
SGLang,gate_proj,0.0619606854694507,0.5616793276651247,0.1413592590543231,5,Llama-3.1-8B,H20,Linear (MLP projections)
vLLM,gate_proj,0.2125821265693284,0.0563118006258979,0.2252673358746276,5,Llama-3.1-8B,H800,Linear (MLP projections)
vLLM,lm_head,0.04654815951022,0.0708036051475783,0.0500950711475941,5,Llama-3.1-8B,H800,Other
vLLM,o_proj,0.0705989738876054,0.0488302806305574,0.0742233194034052,5,Llama-3.1-8B,H800,Linear (o_proj)
SGLang,o_proj,0.1476941388131553,0.2350020546933726,0.1930647522902252,5,Llama-3.1-8B,H20,Linear (o_proj)
vLLM,qkv_proj,0.1044568925445903,0.0494708302637818,0.10989341081829,5,Llama-3.1-8B,H800,Linear (qkv_proj)
SGLang,qkv_proj,0.1253583365800033,0.3518660999614079,0.1934142567956082,5,Llama-3.1-8B,H20,Linear (qkv_proj)
SGLang,up_proj,0.0619606854694507,0.5616793276651247,0.1413592590543231,5,Llama-3.1-8B,H20,Linear (MLP projections)
vLLM,up_proj,0.2125821265693284,0.0563118006258979,0.2252673358746276,5,Llama-3.1-8B,H800,Linear (MLP projections)
vLLM,down_proj,0.2325475416651588,0.0557672686654051,0.2462820170790649,6,Qwen2.5-7B,H800,Linear (MLP projections)
SGLang,down_proj,0.0723445797607533,0.6863002341882859,0.2306172577896515,6,Qwen2.5-14B,H20,Linear (MLP projections)
SGLang,gate_proj,0.0626606115488323,0.5580961981205088,0.1417969505632813,6,Qwen2.5-14B,H20,Linear (MLP projections)
vLLM,gate_proj,0.23051958958682067,0.0562302838802918,0.2442540650007268,6,Qwen2.5-7B,H800,Linear (MLP projections)
vLLM,lm_head,0.0495798998497742,0.073581859578799,0.0535178421994548,6,Qwen2.5-7B,H800,Other
vLLM,o_proj,0.053705088242989,0.046150135455816,0.0563035025104847,6,Qwen2.5-7B,H800,Linear (o_proj)
SGLang,o_proj,0.1339937331166435,0.304337901779678,0.1926132434977169,6,Qwen2.5-14B,H20,Linear (o_proj)
vLLM,qkv_proj,0.0679883306974507,0.0468366493757733,0.0713291490413738,6,Qwen2.5-7B,H800,Linear (qkv_proj)
SGLang,qkv_proj,0.1199129082746773,0.4063136152267829,0.20198022280818,6,Qwen2.5-14B,H20,Linear (qkv_proj)
SGLang,up_proj,0.0626606115488323,0.5580961981205088,0.1417969505632813,6,Qwen2.5-14B,H20,Linear (MLP projections)
vLLM,up_proj,0.23051958958682067,0.0562302838802918,0.2442540650007268,6,Qwen2.5-7B,H800,Linear (MLP projections)
vLLM,down_proj,0.1351910809969435,0.2898345102159019,0.1903656020205147,7,Llama-3.2-3B,H800,Linear (MLP projections)
SGLang,down_proj,0.0613286655567158,0.7171278450023446,0.2168070079475451,7,Qwen3-8B,H20,Linear (MLP projections)
SGLang,gate_proj,0.056745135643969,0.5780538489762934,0.1344843068393837,7,Qwen3-8B,H20,Linear (MLP projections)
vLLM,gate_proj,0.12114869483474004,0.3129169392413305,0.1763232158583112,7,Llama-3.2-3B,H800,Linear (MLP projections)
vLLM,lm_head,0.0677531709380084,0.1379135212883762,0.0785920816659422,7,Llama-3.2-3B,H800,Other
vLLM,o_proj,0.0805064251331298,0.1126219289982748,0.0907239290263837,7,Llama-3.2-3B,H800,Linear (o_proj)
SGLang,o_proj,0.1311469238688165,0.2832445408188136,0.1829730379990929,7,Qwen3-8B,H20,Linear (o_proj)
vLLM,qkv_proj,0.1140016395925131,0.1114872981785391,0.1283061450430686,7,Llama-3.2-3B,H800,Linear (qkv_proj)
SGLang,qkv_proj,0.114719691164243,0.4039261702074258,0.1924588623596576,7,Qwen3-8B,H20,Linear (qkv_proj)
SGLang,up_proj,0.056745135643969,0.5780538489762934,0.1344843068393837,7,Qwen3-8B,H20,Linear (MLP projections)
vLLM,up_proj,0.12114869483474004,0.3129169392413305,0.1763232158583112,7,Llama-3.2-3B,H800,Linear (MLP projections)
vLLM,down_proj,0.2282079577309682,0.0454737165958996,0.2390798050286436,8,Qwen2.5-3B,H800,Linear (MLP projections)
SGLang,down_proj,0.0588274158696377,0.7500913365773365,0.2353956644157811,8,Qwen2.5-7B,H20,Linear (MLP projections)
SGLang,gate_proj,0.0620080788738247,0.5874165287655163,0.1502922031468964,8,Qwen2.5-7B,H20,Linear (MLP projections)
vLLM,gate_proj,0.18648177076770853,0.0550881580193457,0.197353618065384,8,Qwen2.5-3B,H800,Linear (MLP projections)
vLLM,lm_head,0.0526339175444196,0.0733983818100185,0.056803178961887,8,Qwen2.5-3B,H800,Other
vLLM,o_proj,0.0673997999450533,0.0291356571972826,0.0694224692097371,8,Qwen2.5-3B,H800,Linear (o_proj)
SGLang,o_proj,0.1496475507618825,0.1824877033829113,0.1830523545408827,8,Qwen2.5-7B,H20,Linear (o_proj)
vLLM,qkv_proj,0.0752548329877676,0.0325049312708219,0.0777831695686224,8,Qwen2.5-3B,H800,Linear (qkv_proj)
SGLang,qkv_proj,0.1440570217863885,0.2296665387674904,0.1870060552165315,8,Qwen2.5-7B,H20,Linear (qkv_proj)
SGLang,up_proj,0.0620080788738247,0.5874165287655163,0.1502922031468964,8,Qwen2.5-7B,H20,Linear (MLP projections)
vLLM,up_proj,0.18648177076770853,0.0550881580193457,0.197353618065384,8,Qwen2.5-3B,H800,Linear (MLP projections)
vLLM,activation,0.0879706061203289,0.0013793205833202,0.0880921133855498,9,Qwen2.5-32B,A100,Activation
vLLM,down_proj,0.2364100373791555,0.0782895046361092,0.2564905559481787,9,Qwen2.5-32B,A100,Linear (MLP projections)
SGLang,down_proj,0.0741059938209066,0.6431447833420718,0.2076640339321217,9,Llama-3.2-3B,H20,Linear (MLP projections)
SGLang,gate_proj,0.0587222009224696,0.5320985687244638,0.1255012209780772,9,Llama-3.2-3B,H20,Linear (MLP projections)
vLLM,gate_proj,0.21913093776917633,0.0839446357478511,0.23921145633819946,9,Qwen2.5-32B,A100,Linear (MLP projections)
vLLM,o_proj,0.0548298234667322,0.0635134715082898,0.0585484380165513,9,Qwen2.5-32B,A100,Linear (o_proj)
SGLang,o_proj,0.12524421667659,0.2856596061909506,0.1753284817182957,9,Llama-3.2-3B,H20,Linear (o_proj)
vLLM,qkv_proj,0.0732503884927409,0.0663560541577853,0.0784564488624876,9,Qwen2.5-32B,A100,Linear (qkv_proj)
SGLang,qkv_proj,0.1073219315803106,0.4375034246588909,0.1907957066498201,9,Llama-3.2-3B,H20,Linear (qkv_proj)
SGLang,up_proj,0.0587222009224696,0.5320985687244638,0.1255012209780772,9,Llama-3.2-3B,H20,Linear (MLP projections)
vLLM,up_proj,0.21913093776917633,0.0839446357478511,0.23921145633819946,9,Qwen2.5-32B,A100,Linear (MLP projections)
SGLang,attention,0.073109769305191,0.6051115209945348,0.1851402945188969,10,Qwen3-4B,H20,Attention
vLLM,down_proj,0.2274665667120165,0.0421154654432875,0.2374676263222925,10,Qwen3-14B,A800,Linear (MLP projections)
SGLang,down_proj,0.0701138345946986,0.6468835632450041,0.1985572669429318,10,Qwen3-4B,H20,Linear (MLP projections)
SGLang,gate_proj,0.0581740863700081,0.5247052173293615,0.1223958025441247,10,Qwen3-4B,H20,Linear (MLP projections)
vLLM,gate_proj,0.22664636625233556,0.0422614341728874,0.23664742586261156,10,Qwen3-14B,A800,Linear (MLP projections)
vLLM,lm_head,0.0305275056145572,0.0431084609701067,0.031902785602542,10,Qwen3-14B,A800,Other
vLLM,o_proj,0.0837787249541932,0.0216283003228817,0.0856307730301703,10,Qwen3-14B,A800,Linear (o_proj)
SGLang,o_proj,0.135534407818356,0.1996093020196087,0.1693353110678911,10,Qwen3-4B,H20,Linear (o_proj)
vLLM,qkv_proj,0.1143759635732383,0.0221671644220899,0.1169688308796062,10,Qwen3-14B,A800,Linear (qkv_proj)
SGLang,qkv_proj,0.1287449065439782,0.2825433891660752,0.1794462614182808,10,Qwen3-4B,H20,Linear (qkv_proj)
vLLM,up_proj,0.22664636625233556,0.0422614341728874,0.23664742586261156,10,Qwen3-14B,A800,Linear (MLP projections)
SGLang,attention,0.136033315018724,0.039772242135966,0.141667759450447,11,Qwen3-32B,H800,Attention
vLLM,down_proj,0.2274665667120165,0.0421154654432875,0.2374676263222925,11,Qwen3-14B,A100,Linear (MLP projections)
SGLang,down_proj,0.1975752214913722,0.0792253070406442,0.214574991039739,11,Qwen3-32B,H800,Linear (MLP projections)
SGLang,gate_proj,0.1250520455746248,0.0636447915951763,0.1335519303488082,11,Qwen3-32B,H800,Linear (MLP projections)
vLLM,gate_proj,0.22664636625233556,0.0422614341728874,0.23664742586261156,11,Qwen3-14B,A100,Linear (MLP projections)
vLLM,lm_head,0.0305275056145572,0.0431084609701067,0.031902785602542,11,Qwen3-14B,A100,Other
vLLM,o_proj,0.0837787249541932,0.0216283003228817,0.0856307730301703,11,Qwen3-14B,A100,Linear (o_proj)
SGLang,o_proj,0.1799205414475046,0.0185465018684842,0.1833204953571779,11,Qwen3-32B,H800,Linear (o_proj)
vLLM,qkv_proj,0.1143759635732383,0.0221671644220899,0.1169688308796062,11,Qwen3-14B,A100,Linear (qkv_proj)
SGLang,qkv_proj,0.1835157068421345,0.0226342912270568,0.1877656492292262,11,Qwen3-32B,H800,Linear (qkv_proj)
vLLM,up_proj,0.22664636625233556,0.0422614341728874,0.23664742586261156,11,Qwen3-14B,A100,Linear (MLP projections)
vLLM,down_proj,0.1363937486149689,0.2917039428262536,0.1925660142161589,12,Qwen3-4B,H800,Linear (MLP projections)
vLLM,gate_proj,0.12784620185446613,0.3052534149309014,0.1840184674556561,12,Qwen3-4B,H800,Linear (MLP projections)
vLLM,lm_head,0.049929061747223,0.1466835038057075,0.05851177373214,12,Qwen3-4B,H800,Other
vLLM,o_proj,0.0852812824238894,0.1087153537999271,0.0956835538315172,12,Qwen3-4B,H800,Linear (o_proj)
vLLM,qkv_proj,0.1155951901384054,0.1118881556251329,0.1301583701090843,12,Qwen3-4B,H800,Linear (qkv_proj)
vLLM,up_proj,0.12784620185446613,0.3052534149309014,0.1840184674556561,12,Qwen3-4B,H800,Linear (MLP projections)
vLLM,activation,0.1310097246256737,0.000497231029559,0.1310748991327188,13,Qwen2.5-14B,A800,Activation
vLLM,down_proj,0.2002539436840134,0.0261887134245012,0.2056393743270584,13,Qwen2.5-14B,A800,Linear (MLP projections)
vLLM,gate_proj,0.18433750231718773,0.0283857652789602,0.1897229329602328,13,Qwen2.5-14B,A800,Linear (MLP projections)
vLLM,o_proj,0.0929062148283197,0.0210177737949624,0.0949008187701883,13,Qwen2.5-14B,A800,Linear (o_proj)
vLLM,qkv_proj,0.119223119397318,0.022885977871265,0.122015564915934,13,Qwen2.5-14B,A800,Linear (qkv_proj)
vLLM,up_proj,0.18433750231718773,0.0283857652789602,0.1897229329602328,13,Qwen2.5-14B,A800,Linear (MLP projections)
RTP-LLM,attention,0.3632307490570745,0.0001438832924577,0.3632830194140018,35,QwQ-32B,H20,Attention
RTP-LLM,down_proj,0.0601557038472493,0.6181798920121416,0.1575498581367597,35,QwQ-32B,H20,Linear (MLP projections)
RTP-LLM,gate_proj,0.0576398124067299,0.6282117162127171,0.1550339666962403,35,QwQ-32B,H20,Linear (MLP projections)
RTP-LLM,o_proj,0.0257511583971516,0.4127907697011527,0.0438534632434952,35,QwQ-32B,H20,Linear (o_proj)
RTP-LLM,up_proj,0.057956478700085,0.6269311712172638,0.1553506329895954,35,QwQ-32B,H20,Linear (MLP projections)
RTP-LLM,down_proj,0.1276222126126368,0.4544398569862792,0.2339287688936379,36,qwen2.5-7B,custom accelerator,Linear (MLP projections)
RTP-LLM,gate_proj,0.1240746180993799,0.4613893748335089,0.2303605096186636,36,qwen2.5-7B,custom accelerator,Linear (MLP projections)
RTP-LLM,other,0.0630079212859483,0.0,0.0630079212859483,36,qwen2.5-7B,custom accelerator,Other
RTP-LLM,qkv_proj,0.0384382250333974,0.4021263286565075,0.0642915499975475,36,qwen2.5-7B,custom accelerator,Linear (qkv_proj)
RTP-LLM,up_proj,0.1240947236701484,0.4613645883430579,0.230387235938332,36,qwen2.5-7B,custom accelerator,Linear (MLP projections)
RTP-LLM,down_proj,0.0469577153571944,0.7707527502843491,0.2048343673280222,40,qwen3-30B-A3B,custom accelerator,Linear (MLP projections)
RTP-LLM,other,0.1125427325270695,0.0,0.1125427325270695,40,qwen3-30B-A3B,custom accelerator,Other
RTP-LLM,rope,0.0136662951065035,0.1576041880646663,0.0162231280270807,40,qwen3-30B-A3B,custom accelerator,RoPE
RTP-LLM,router,0.0440642124650968,0.069483957790983,0.0473545973054798,40,qwen3-30B-A3B,custom accelerator,Router
RTP-LLM,up_proj,0.1308889448782778,0.5932073134686005,0.3217583531167411,40,qwen3-30B-A3B,custom accelerator,Linear (MLP projections)
RTP-LLM,activation,0.0281959747513749,0.3607704906589623,0.0441093133832968,41,qwen3-4B,H800,Activation
RTP-LLM,add_bias,0.0213154168500977,0.0,0.0213154168500977,41,qwen3-4B,H800,Other
RTP-LLM,attention,0.066532408031298,0.1363183906868926,0.0770334893250903,41,qwen3-4B,H800,Attention
RTP-LLM,layernorm,0.0824755027904439,0.0932664645836631,0.0909589196483996,41,qwen3-4B,H800,LayerNorm
RTP-LLM,rope,0.0461032321547766,0.0740748898447801,0.0497915345951121,41,qwen3-4B,H800,RoPE
RTP-LLM,attention,0.0624217818339583,0.0139381911145071,0.0633041268523636,44,qwen2.5-7B-instruct,L20,Attention
RTP-LLM,down_proj,0.0467306121926998,0.8006244877295043,0.234384913475732,44,qwen2.5-7B-instruct,L20,Linear (MLP projections)
RTP-LLM,gate_proj,0.0595703442388276,0.7590438264666274,0.2472248100776597,44,qwen2.5-7B-instruct,L20,Linear (MLP projections)
RTP-LLM,qkv_proj,0.0185673736658682,0.7119202954156347,0.0644522101709902,44,qwen2.5-7B-instruct,L20,Linear (qkv_proj)
RTP-LLM,up_proj,0.0587145956867283,0.7616803208846221,0.2463690615255604,44,qwen2.5-7B-instruct,L20,Linear (MLP projections)
RTP-LLM,attention,0.0750031796726115,0.4095599149786905,0.1270292813366569,50,qwen2-7B,A800,Attention
RTP-LLM,down_proj,0.0528258397434081,0.7394819011035324,0.2027722448734806,50,qwen2-7B,A800,Linear (MLP projections)
RTP-LLM,gate_proj,0.0641361856022732,0.700413819811912,0.2140825907323457,50,qwen2-7B,A800,Linear (MLP projections)
RTP-LLM,rope,0.0285141592595499,0.0584305439779604,0.030283649365621,50,qwen2-7B,A800,RoPE
RTP-LLM,up_proj,0.0647584942213086,0.6983837144986321,0.2147048993513811,50,qwen2-7B,A800,Linear (MLP projections)
RTP-LLM,add_bias,0.0076248184258975,0.0,0.0076248184258975,57,qwen3-32b,H20,Other
RTP-LLM,attention,0.0373626178952529,0.7565977736561741,0.1535015453904483,57,qwen3-32b,H20,Attention
RTP-LLM,layernorm,0.0084201376203891,0.5288848903641828,0.0178727819341182,57,qwen3-32b,H20,LayerNorm
RTP-LLM,reduction,0.0106422661106517,0.167456844329588,0.0127828401905268,57,qwen3-32b,H20,Other
RTP-LLM,rope,0.0058074331166252,0.4079644853588152,0.0098092647704503,57,qwen3-32b,H20,RoPE
RTP-LLM,attention,0.0303990336938452,0.13942336673768,0.0353240287022516,61,qwen3-32B,custom accelerator,Attention
RTP-LLM,o_proj,0.0276087500033672,0.642209565858107,0.0771645839821924,61,qwen3-32B,custom accelerator,Linear (o_proj)
RTP-LLM,other,0.0284112706695291,0.0,0.0284112706695291,61,qwen3-32B,custom accelerator,Other
RTP-LLM,qkv_proj,0.0344629764253931,0.6425290532184742,0.0964077688989247,61,qwen3-32B,custom accelerator,Linear (qkv_proj)
RTP-LLM,rope,0.0124029329532648,0.0701590952080854,0.0133387689112692,61,qwen3-32B,custom accelerator,RoPE
RTP-LLM,down_proj,0.1251845872681375,0.4521823280721533,0.2285150583543527,62,qwen3-32B,A100,Linear (MLP projections)
RTP-LLM,gate_proj,0.1266917368045889,0.4491382922803511,0.2299882802328791,62,qwen3-32B,A100,Linear (MLP projections)
RTP-LLM,o_proj,0.0580046578148426,0.2626273452092774,0.0786639665005006,62,qwen3-32B,A100,Linear (o_proj)
RTP-LLM,qkv_proj,0.0752918269004249,0.2553920795620752,0.101116070396006,62,qwen3-32B,A100,Linear (qkv_proj)
RTP-LLM,up_proj,0.1273116812445013,0.4479960077910593,0.230635435687777,62,qwen3-32B,A100,Linear (MLP projections)
RTP-LLM,down_proj,0.1078897476848296,0.5267100064271298,0.2279569590524595,63,qwen3-32B,A100,Linear (MLP projections)
RTP-LLM,gate_proj,0.1074403769611361,0.5277564878750549,0.2275105410716788,63,qwen3-32B,A100,Linear (MLP projections)
RTP-LLM,o_proj,0.0549944789689542,0.3039423509914147,0.0790085117910627,63,qwen3-32B,A100,Linear (o_proj)
RTP-LLM,qkv_proj,0.0719447194368845,0.2943929848438429,0.1019614571447572,63,qwen3-32B,A100,Linear (qkv_proj)
RTP-LLM,up_proj,0.1081648557172127,0.5260738545338758,0.2282314591671842,63,qwen3-32B,A100,Linear (MLP projections)
