,efficiency,efficiency,efficiency,efficiency,efficiency,efficiency,time_proportion,time_proportion,bottleneck_score,bottleneck_score,bottleneck_score
,count,mean,median,std,min,max,mean,sum,mean,median,max
operator,,,,,,,,,,,
activation,6,0.0616,0.0013,0.1466,0.0005,0.3608,0.0898,0.539,0.0871,0.0842,0.131
add_bias,2,0.0,0.0,0.0,0.0,0.0,0.0145,0.0289,0.0145,0.0145,0.0213
attention,13,0.2157,0.1394,0.24,0.0001,0.7566,0.1843,2.3961,0.1532,0.075,0.6923
communication,2,0.0,0.0,0.0,0.0,0.0,0.0374,0.0748,0.0374,0.0374,0.0583
down_proj,32,0.3823,0.3719,0.3139,0.0262,0.9451,0.2165,6.927,0.1356,0.1314,0.2364
gate_proj,31,0.3506,0.4491,0.2773,0.0284,0.7927,0.1838,5.698,0.1251,0.1211,0.2305
layernorm,2,0.3111,0.3111,0.308,0.0933,0.5289,0.0544,0.1088,0.0454,0.0454,0.0825
lm_head,8,0.079,0.0721,0.0415,0.0431,0.1467,0.0492,0.3932,0.0448,0.0481,0.0678
o_proj,30,0.1929,0.1107,0.1911,0.0185,0.6422,0.1142,3.4274,0.0913,0.0838,0.1799
other,4,0.0,0.0,0.0,0.0,0.0,0.0621,0.2483,0.0621,0.0537,0.1125
qkv_proj,30,0.249,0.1708,0.2396,0.0222,0.7119,0.1291,3.8741,0.0961,0.113,0.1835
reduction,1,0.1675,0.1675,,0.1675,0.1675,0.0128,0.0128,0.0106,0.0106,0.0106
rope,6,0.1353,0.0721,0.1394,0.0433,0.408,0.0228,0.1369,0.0205,0.0152,0.0461
router,2,0.0438,0.0438,0.0363,0.0181,0.0695,0.0551,0.1103,0.0529,0.0529,0.0618
up_proj,29,0.3705,0.4614,0.2797,0.0284,0.7927,0.1944,5.6362,0.128,0.1241,0.2305
