case_id,pod_name,model_name,gpu_type,gpu_num,group_name,group_id,sea_qps,sea_fpr,sea_token_size,mea_iips,mea_total_iterations,mea_avg_iteration_duration_us,mea_std_iteration_duration_us,mea_mie,gpu_utilization,oea_overall_efficiency,oea_total_compute_time_us,oea_total_flops,oea_memory_utilization,oea_bottleneck_1_operator,oea_bottleneck_1_score,oea_bottleneck_1_efficiency,oea_bottleneck_1_time_proportion,oea_bottleneck_2_operator,oea_bottleneck_2_score,oea_bottleneck_2_efficiency,oea_bottleneck_2_time_proportion,oea_bottleneck_3_operator,oea_bottleneck_3_score,oea_bottleneck_3_efficiency,oea_bottleneck_3_time_proportion,oea_bottleneck_4_operator,oea_bottleneck_4_score,oea_bottleneck_4_efficiency,oea_bottleneck_4_time_proportion,oea_bottleneck_5_operator,oea_bottleneck_5_score,oea_bottleneck_5_efficiency,oea_bottleneck_5_time_proportion,hw_mem_bandwidth_gbps,hw_fp16_tflops,hw_memory_size_gb
1,Qwen3-14B_batch4_input2048_output10,Qwen3-14B,H800,1,SGLang Framework,0,4,231.5249,8192,18.833618,10,53096.54257615292,,49.172686,93.64,0.10324596077088771,455061.9759999996,46466494502272,0.20709659619592513,qkv_proj,0.17102783075898648,0.07275348768361521,0.18444699277621038,down_proj,0.17039034966682848,0.16055490546348766,0.20297974313722933,o_proj,0.170109051909162,0.05334127341304712,0.1796941676357505,attention,0.15464009531255452,0.04889158325766451,0.16258934585209125,gate_proj,0.11287123252275194,0.1261532110581492,0.12916592925795237,3350.0,989.0,80.0
2,Qwen2.5-3B_batch1_input1024_output10,Qwen2.5-3B,A100,1,SGLang Framework,0,1,176.436,1024,49.584591,10,20167.555682772494,,3.558283,56.55,0.7142198684874669,93440.45699999986,20821953643904,1.3240194065093402,attention,0.13425304995606305,0.24600636655989674,0.1780559463659291,o_proj,0.056993357154294794,0.5398987749928592,0.12387134407957782,qkv_proj,0.03887978066980282,0.706587539621291,0.13250896236519907,gate_proj,0.029730029845472756,0.7927102962416962,0.1434226076184539,up_proj,0.029730029845472756,0.7927102962416962,0.1434226076184539,2039.0,312.0,80.0
3,Qwen2.5-3B_batch1_input1024_output10,Qwen2.5-3B,A800,1,SGLang Framework,0,1,176.436,1024,49.584591,10,20167.555682772494,,3.558283,56.55,0.7142198684874669,93440.45699999986,20821953643904,1.3240194065093402,attention,0.13425304995606305,0.24600636655989674,0.1780559463659291,o_proj,0.056993357154294794,0.5398987749928592,0.12387134407957782,qkv_proj,0.03887978066980282,0.706587539621291,0.13250896236519907,gate_proj,0.029730029845472756,0.7927102962416962,0.1434226076184539,up_proj,0.029730029845472756,0.7927102962416962,0.1434226076184539,2039.0,312.0,80.0
4,Qwen3-14B_batch1_input1024_output10,Qwen3-14B,H20,1,SGLang Framework,0,1,138.6908,1024,28.918649,10,34579.76200755437,,4.795895,93.71,0.5737361027949222,295789.12100000004,25116324834688,0.25934643771756577,o_proj,0.1406999104535621,0.26019979256553166,0.19018636253359705,qkv_proj,0.12836829510363565,0.35052501117813617,0.19764932801568458,down_proj,0.06448776339089446,0.7229213189445495,0.2327417004630133,gate_proj,0.058919818840546,0.5881080594601173,0.14304678737660542,up_proj,0.058919818840546,0.5881080594601173,0.14304678737660542,4022.0,148.0,96.0
5,Llama-3.1-8B_batch1_input1024_output10,Llama-3.1-8B,H20,1,SGLang Framework,0,1,137.5956,1024,48.915593,10,20443.378862850543,,2.812919,92.97,0.5682982436508681,165182.41999999995,13893186116864,0.25397951900228755,o_proj,0.1476941388131553,0.23500205469337265,0.19306475229022524,qkv_proj,0.12535833658000334,0.35186609996140794,0.19341425679560825,down_proj,0.06548440167788681,0.7080259075508061,0.22428154884763166,gate_proj,0.06196068546945072,0.5616793276651247,0.14135925905432314,up_proj,0.06196068546945072,0.5616793276651247,0.14135925905432314,4022.0,148.0,96.0
6,Qwen2.5-14B_batch1_input1024_output10,Qwen2.5-14B,H20,1,SGLang Framework,0,1,136.012,1024,27.506971,10,36354.42084844602,,4.944638,91.9,0.5895038916299996,299645.372,26143032709632,0.2557899156398105,o_proj,0.1339937331166435,0.30433790177967807,0.1926132434977169,qkv_proj,0.11991290827467731,0.4063136152267829,0.20198022280818007,down_proj,0.07234457976075338,0.6863002341882859,0.2306172577896515,gate_proj,0.0626606115488323,0.5580961981205088,0.14179695056328137,up_proj,0.0626606115488323,0.5580961981205088,0.14179695056328137,4022.0,148.0,96.0
7,Qwen3-8B_batch1_input1024_output10,Qwen3-8B,H20,1,SGLang Framework,0,1,134.9612,1024,46.471033,10,21518.781387966996,,2.904201,91.19,0.6009407721399858,162683.06700000007,14468907408768,0.2741512780123073,o_proj,0.13114692386881652,0.2832445408188136,0.18297303799909292,qkv_proj,0.11471969116424302,0.4039261702074258,0.19245886235965762,down_proj,0.06132866555671588,0.7171278450023446,0.2168070079475451,gate_proj,0.05674513564396909,0.5780538489762934,0.1344843068393837,up_proj,0.05674513564396909,0.5780538489762934,0.1344843068393837,4022.0,148.0,96.0
8,Qwen2.5-7B_batch1_input1024_output10,Qwen2.5-7B,H20,1,SGLang Framework,0,1,134.7984,1024,53.222708,10,18788.972556601217,,2.532723,91.08,0.5582663190500696,150298.17599999992,12418148602368,0.2488994016592152,o_proj,0.14964755076188258,0.1824877033829113,0.1830523545408827,qkv_proj,0.14405702178638854,0.22966653876749046,0.18700605521653155,gate_proj,0.06200807887382474,0.5874165287655163,0.15029220314689648,up_proj,0.06200807887382474,0.5874165287655163,0.15029220314689648,down_proj,0.0588274158696377,0.7500913365773365,0.23539566441578116,4022.0,148.0,96.0
9,Llama-3.2-3B_batch1_input1024_output10,Llama-3.2-3B,H20,1,SGLang Framework,0,1,125.4744,1024,86.548753,10,11554.181491211086,,1.449754,84.78,0.6120662532161838,73649.15199999997,6671567756544,0.275347814476469,o_proj,0.12524421667659008,0.28565960619095065,0.17532848171829574,qkv_proj,0.10732193158031068,0.4375034246588909,0.1907957066498201,down_proj,0.07410599382090666,0.6431447833420718,0.20766403393212177,gate_proj,0.05872220092246968,0.5320985687244638,0.12550122097807723,up_proj,0.05872220092246968,0.5320985687244638,0.12550122097807723,4022.0,148.0,96.0
10,Qwen3-4B_batch1_input1024_output10,Qwen3-4B,H20,1,SGLang Framework,0,1,121.5376,1024,66.29306,10,15084.535243960681,,1.833338,82.12,0.5091831939677282,97436.7359999999,7342745970048,0.24590337079207225,o_proj,0.13553440781835605,0.1996093020196087,0.1693353110678911,qkv_proj,0.12874490654397824,0.28254338916607524,0.17944626141828082,attention,0.07310976930519107,0.6051115209945348,0.1851402945188969,down_proj,0.07011383459469865,0.6468835632450041,0.19855726694293188,gate_proj,0.05817408637000817,0.5247052173293615,0.12239580254412477,4022.0,148.0,96.0
