Case,Kernel_Name,Execution_Count
qwen2-7b-query,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_f16_256x64_32x4_nn_align2>(cutlass_80_tensorop_f16_s16816gemm_f16_256x64_32x4_nn_align2::Params),13466
qwen2-7b-query,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_nn,12766
qwen2-7b-query,"void fastertransformer::generalRmsNorm<__half2, false, false, true, false>(__half2*, __half2*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, float, int, int, float const*, float*, signed char*)",6902
qwen2-7b-query,"fastertransformer::getCuSeqLensKernel(int*, int const*, int const*, int)",6902
qwen2-7b-query,"void fastertransformer::masked_multihead_attention_kernel<unsigned short, unsigned short, fastertransformer::KVBlockArray, (unsigned int)128, (unsigned int)256, false, false, false, (unsigned int)16, (unsigned int)16, (unsigned int)4, (unsigned int)8>(fastertransformer::Multihead_attention_params<unsigned short, false>, fastertransformer::KVBlockArray)",6902
qwen2-7b-query,"void fastertransformer::generalRmsNorm<__half2, true, false, true, false>(__half2*, __half2*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, __half2 const*, float, int, int, float const*, float*, signed char*)",6901
qwen2-7b-query,"void fastertransformer::generic_activation<fastertransformer::SiluActivation, __half2, __half2>(__half2*, __half2 const*, __half2 const*, __half2 const*, int const*, __half2 const*, int, float const*, float const*, __half2 const*, int const*, int, int, int, int)",6901
qwen2-7b-query,"void fastertransformer::addBiasResidual<__half, 1, __half>(__half*, __half const*, __half const*, __half const*, __half const*, float const*, float const*, int, int)",6901
qwen2-7b-query,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_nn,6622
qwen2-7b-query,"void cub::CUB_200301_700_750_800_860_890_900_NS::DeviceSegmentedRadixSortKernel<cub::CUB_200301_700_750_800_860_890_900_NS::DeviceRadixSortPolicy<float, int, int>::Policy900, true, true, float, int, int*, int*, int, cub::CUB_200301_700_750_800_860_890_900_NS::detail::identity_decomposer_t>(float const*, float*, int const*, int*, int*, int*, int, int, int, cub::CUB_200301_700_750_800_860_890_900_NS::detail::identity_decomposer_t)",988
qwen2-7b-query,void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_f16_64x64_32x6_nn_align8>(cutlass_80_tensorop_s16816gemm_f16_64x64_32x6_nn_align8::Params),700
qwen2-7b-query,"void cublasLt::splitKreduce_kernel<32, 16, int, float, __half, float, __half, true, false, false>(cublasLt::cublasSplitKParams<float>, float const*, __half const*, __half*, float const*, float const*, __half const*, float const*, __half*, void*, long, float*, int*)",700
qwen2-7b-query,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<float>, at::detail::Array<char*, 1>)",494
qwen2-7b-query,"void cub::CUB_200301_700_750_800_860_890_900_NS::DeviceSegmentedRadixSortKernel<cub::CUB_200301_700_750_800_860_890_900_NS::DeviceRadixSortPolicy<float, int, int>::Policy900, false, true, float, int, int*, int*, int, cub::CUB_200301_700_750_800_860_890_900_NS::detail::identity_decomposer_t>(float const*, float*, int const*, int*, int*, int*, int, int, int, cub::CUB_200301_700_750_800_860_890_900_NS::detail::identity_decomposer_t)",494
qwen2-7b-query,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x128_32x3_nn_align8::Params),336
qwen2-7b-query,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_stages_32x1_nn,280
qwen2-7b-query,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2> >(int, at::native::AUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> >, at::detail::Array<char*, 2>)",247
qwen2-7b-query,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<c10::Half>, at::detail::Array<char*, 2> >(int, at::native::CUDAFunctorOnSelf_add<c10::Half>, at::detail::Array<char*, 2>)",247
qwen2-7b-query,"void at::native::elementwise_kernel<128, 4, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::DivFunctor<c10::Half> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::DivFunctor<c10::Half> > const&)::{lambda(int)#1}>(int, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::DivFunctor<c10::Half> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::DivFunctor<c10::Half> > const&)::{lambda(int)#1})",247
qwen2-7b-query,"void at::native::elementwise_kernel<128, 4, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",247
qwen2-7b-query,"void at::native::elementwise_kernel<128, 4, void at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<c10::Half> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::Half> const&)::{lambda(int)#1}>(int, void at::native::gpu_kernel_impl<at::native::CUDAFunctor_add<c10::Half> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<c10::Half> const&)::{lambda(int)#1})",247
qwen2-7b-query,void cutlass::Kernel2<cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_tn_align8>(cutlass_80_wmma_tensorop_f16_s161616gemm_f16_16x16_128x2_tn_align8::Params),247
qwen2-7b-query,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",247
qwen2-7b-query,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#11}::operator()() const::{lambda(bool)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",247
qwen2-7b-query,"void fastertransformer::batchApplyTemperaturePenalty<float>(float*, float const*, float const*, int, int, int)",247
qwen2-7b-query,"fastertransformer::topPInitialize(int*, int*, int*, int, int)",247
qwen2-7b-query,"void fastertransformer::addBiasSoftMax<float>(float*, float const*, int const*, bool const*, int, int)",247
qwen2-7b-query,"void fastertransformer::topp_beam_topk_kernel<float, 1, 256>(float const*, int*, float*, int, int*, int*, float, float const*, bool const*)",247
qwen2-7b-query,"void fastertransformer::topp_sampling<float, 256>(float*, int*, int*, int*, bool*, float*, float*, int const*, int const*, int, curandStateXORWOW*, float, float const*, int const*, int, bool const*)",247
qwen2-7b-query,"fastertransformer::computeToppDecay(float*, float const*, int const*, float const*, float const*, int const*, int)",247
qwen2-7b-query,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<c10::Half>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<c10::Half>, at::detail::Array<char*, 1>)",247
qwen2-7b-query,"fastertransformer::ConvertOffsetToAddr(unsigned long*, unsigned long const*, unsigned long const*, int const*, int, int, int, int)",247
qwen2-7b-query,"void at::native::(anonymous namespace)::indexSelectSmallIndex<c10::Half, long, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<c10::Half, unsigned int>, at::cuda::detail::TensorInfo<c10::Half, unsigned int>, at::cuda::detail::TensorInfo<long, unsigned int>, int, int, unsigned int, long)",246
qwen2-7b-query,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<c10::Half, at::native::NormTwoOps<c10::Half, float, c10::Half>, unsigned int, c10::Half, 4> >(at::native::ReduceOp<c10::Half, at::native::NormTwoOps<c10::Half, float, c10::Half>, unsigned int, c10::Half, 4>)",246
qwen2-7b-query,"void at::native::(anonymous namespace)::indexSelectSmallIndex<c10::Half, int, unsigned int, 2, 2, -2>(at::cuda::detail::TensorInfo<c10::Half, unsigned int>, at::cuda::detail::TensorInfo<c10::Half, unsigned int>, at::cuda::detail::TensorInfo<int, unsigned int>, int, int, unsigned int, long)",241
qwen2-7b-query,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn,168
qwen2-7b-query,"void fastertransformer::add_fusedQKV_bias_transpose_kernel<__half, __half, false, false>(__half*, __half*, __half*, fastertransformer::PrefixPromptBatchWeightsParam, __half*, int const*, __half const*, int const*, int const*, int, int, int, int, int, fastertransformer::RopeConfig, bool)",168
qwen2-7b-query,"void fastertransformer::transpose4dBatchMajorKVCache<__half, __half, fastertransformer::KVBlockArray>(__half const*, __half const*, fastertransformer::KVBlockArray, int, int, int, float const*, int const*, int const*)",168
qwen2-7b-query,fmha_v2_flash_attention_fp16_64_32_S_128_causal_sm89_kernel_nl,168
qwen2-7b-query,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2>(cutlass_80_tensorop_f16_s16816gemm_f16_128x64_32x6_nn_align2::Params),112
qwen2-7b-query,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x64_32x4_nn_align8>(cutlass_80_tensorop_f16_s16816gemm_relu_f16_256x64_32x4_nn_align8::Params),56
qwen2-7b-query,"fastertransformer::curandBatchInitialize(curandStateXORWOW*, int, unsigned long long const*)",32
qwen2-7b-query,"void fastertransformer::setup_topk_runtime_args<(unsigned int)1024>(int, unsigned int, unsigned int*, int, float, float*, int, bool*)",16
qwen2-7b-query,"fastertransformer::set_topp_runtime_args(int, unsigned int, unsigned int*, int, float, float*, int, bool*, float*, float*, float const*, float*, float const*, int*, unsigned int const*)",16
