Kernel_Name,Operator_Type,Appears_In_Cases,Total_Execution_Count,Potential_Issues
ampere_fp16_s16816gemm_fp16_128x256_ldg8_f2f_stages_64x3_nn,GEMM,qwen2-ast-sft,64,
ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_nn,GEMM,qwen2-ast-sft,640,
ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_64x3_nn,GEMM,qwen2-7b-query,12766,
ampere_fp16_s16816gemm_fp16_256x128_ldg8_f2f_stages_32x3_nn,GEMM,qwen2-ast-sft,32,
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nn,GEMM,qwen2-ast-sft,160,
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_nn,GEMM,qwen2-7b-query,6622,
ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn,GEMM,qwen2-7b-query,168,
ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_stages_32x1_nn,GEMM,qwen2-7b-query,280,
ampere_s16816gemm_fp16_64x64_sliced1x2_ldg8_stages_64x5_tn,GEMM,qwen2-ast-sft,6,
nvjet_hsh_128x128_64x6_1x2_h_bz_NNT,GEMM,recommend-intent,36,
nvjet_hsh_128x136_64x6_4x1_v_bz_NNT,GEMM,recommend-intent,180,
nvjet_hsh_128x152_64x6_4x1_v_bz_NNT,GEMM,recommend-intent,108,
nvjet_hsh_128x168_64x5_2x1_v_bz_NNT,GEMM,recommend-intent,396,
nvjet_hsh_128x176_64x5_2x1_v_bz_NNT,GEMM,recommend-intent,288,
nvjet_hsh_128x184_64x5_2x1_v_bz_coopA_NNT,GEMM,recommend-intent,288,
nvjet_hsh_128x192_64x5_2x1_v_bz_coopB_NNN,GEMM,recommend-intent,144,
nvjet_hsh_128x200_64x5_2x1_v_bz_coopA_NNT,GEMM,recommend-intent,144,
nvjet_hsh_128x208_64x5_2x1_v_bz_coopA_NNT,GEMM,recommend-intent,216,
nvjet_hsh_128x216_64x4_2x1_v_bz_coopA_NNT,GEMM,recommend-intent,144,
nvjet_hsh_128x224_64x4_2x1_v_bz_coopA_NNT,GEMM,recommend-intent,468,
nvjet_hsh_128x232_64x4_2x1_v_bz_coopA_NNT,GEMM,recommend-intent,252,
nvjet_hsh_128x240_64x4_2x1_v_bz_coopA_NNT,GEMM,recommend-intent,180,
nvjet_hsh_128x248_64x4_2x1_v_bz_coopA_NNT,GEMM,recommend-intent,216,
nvjet_hsh_128x256_64x4_2x1_v_bz_coopA_NNN,GEMM,recommend-intent,432,
nvjet_hsh_128x272_64x4_2x1_v_bz_coopA_NNT,GEMM,recommend-intent,252,
nvjet_hsh_128x304_64x3_2x1_v_bz_coopA_NNT,GEMM,recommend-intent,108,
nvjet_hsh_128x80_64x8_1x2_h_bz_NNT,GEMM,recommend-intent,36,
nvjet_hsh_128x8_64x12_4x1_v_bz_NNT,GEMM,recommend-intent,2557,
nvjet_hsh_128x8_64x12_4x1_v_bz_splitK_NNT,GEMM,recommend-intent,2558,
nvjet_hsh_192x104_64x5_2x1_v_bz_NNT,GEMM,recommend-intent,144,
nvjet_hsh_192x128_64x5_2x1_v_bz_coopB_NNT,GEMM,recommend-intent,288,
nvjet_hsh_192x160_64x4_2x1_v_bz_coopB_NNT,GEMM,recommend-intent,36,
nvjet_hsh_192x176_64x4_2x1_v_bz_coopB_NNT,GEMM,recommend-intent,180,
nvjet_hsh_192x192_64x3_2x1_v_bz_coopB_NNN,GEMM,recommend-intent,180,
nvjet_hsh_192x208_64x4_1x2_h_bz_coopB_NNT,GEMM,recommend-intent,36,
nvjet_hsh_192x208_64x4_2x1_v_bz_coopB_NNT,GEMM,recommend-intent,108,
nvjet_hsh_192x88_64x6_2x1_v_bz_NNT,GEMM,recommend-intent,72,
