pod_name,app_name,model_name,app_pod_num,app_qps,model_architecture_json,gpu_type,f_peak,memory_bandwidth,memory_size,n_gpu_hardware,tensor_parallelism,qps_timeseries,execute_token_size_timeseries,u_gpu,n_gpu_runtime,inference_engine,task_function
ai-data-video-llm-offline-north-custom accelerator-spot.ference-part0-e98979e9-a-e665,ai_data_video_llm_offline,video_logics-13B,50,1106,"{
  ""_name_or_path"": ""/data/oss_bucket_0/lifeng/videoLLM/checkpoint/Logics_cu_mamavcg_v1_hf/"",
  ""architectures"": [
    ""VideoChatGPTLlamaForCausalLM""
  ],
  ""bos_token_id"": 1,
  ""eos_token_id"": 2,
  ""freeze_mm_mlp_adapter"": false,
  ""freeze_mm_vision_resampler"": false,
  ""hidden_act"": ""silu"",
  ""hidden_size"": 5120,
  ""image_aspect_ratio"": ""pad"",
  ""initializer_range"": 0.02,
  ""intermediate_size"": 13824,
  ""max_length"": 4096,
  ""max_position_embeddings"": 4096,
  ""mm_hidden_size"": 1024,
  ""mm_projector_type"": ""mlp2x_gelu"",
  ""mm_resampler_type"": null,
  ""mm_use_im_patch_token"": false,
  ""mm_use_im_start_end"": false,
  ""mm_use_vid_start_end"": true,
  ""mm_vision_select_feature"": ""patch"",
  ""mm_vision_select_layer"": -2,
  ""mm_vision_tower"": ""CLIPVisionModel_336_logics-0.6"",
  ""model_type"": ""VideoChatGPT"",
  ""num_attention_heads"": 40,
  ""num_hidden_layers"": 40,
  ""num_key_value_heads"": 40,
  ""pad_token_id"": 0,
  ""pretraining_tp"": 1,
  ""rms_norm_eps"": 1e-05,
  ""rope_scaling"": null,
  ""rope_theta"": 10000.0,
  ""sep_video_conv_front"": false,
  ""tie_word_embeddings"": false,
  ""torch_dtype"": ""float16"",
  ""transformers_version"": ""4.33.3"",
  ""tune_mm_mlp_adapter"": true,
  ""tune_mm_vision_resampler"": false,
  ""unfreeze_mm_vision_tower"": false,
  ""use_cache"": false,
  ""use_chat_univi"": true,
  ""use_mm_proj"": true,
  ""vocab_size"": 32003
}",custom accelerator,118.0,2765.0,96.0,1,"1
","2025-10-11 13:40:09.000
        19.9
        2025-10-11 13:40:10.000
        25.0
        2025-10-11 13:40:11.000
        12.0
        2025-10-11 13:40:12.000
        17.0
        2025-10-11 13:40:13.000
        13.0
        2025-10-11 13:40:14.000
        19.0
        2025-10-11 13:40:15.000
        19.9
        2025-10-11 13:40:16.000
        19.0
        2025-10-11 13:40:17.000
        18.0
        2025-10-11 13:40:18.000
        14.0
        2025-10-11 13:40:19.000
        27.0","2025-10-11 13:40:10
        18.1",0.980,1,MagaEngine (Ant Group) / Custom FT-based,"A 13B-parameter Video-Logics VLM model specialized for offline batch inference on custom accelerator hardware, processing video data with FP16 precision and optimized for high memory bandwidth usage up to 100GiB, deployed in a spot instance cluster for cost-efficient large-scale video understanding tasks."
aigr-user-gsid-rec-model-online-na61-l20.ference-part0-8cac7a63-b-c560,aigr-user-gsid-rec-model-online,qwen3-0.6B,4,99,"{
  ""architectures"": [
    ""Qwen3ForCausalLM""
  ],
  ""attention_bias"": false,
  ""attention_dropout"": 0.0,
  ""bos_token_id"": 151643,
  ""eos_token_id"": 151645,
  ""head_dim"": 128,
  ""hidden_act"": ""silu"",
  ""hidden_size"": 1024,
  ""initializer_range"": 0.02,
  ""intermediate_size"": 3072,
  ""max_position_embeddings"": 40960,
  ""max_window_layers"": 28,
  ""model_type"": ""qwen3"",
  ""num_attention_heads"": 16,
  ""num_hidden_layers"": 28,
  ""num_key_value_heads"": 8,
  ""rms_norm_eps"": 1e-06,
  ""rope_scaling"": null,
  ""rope_theta"": 1000000,
  ""sliding_window"": null,
  ""tie_word_embeddings"": true,
  ""torch_dtype"": ""bfloat16"",
  ""transformers_version"": ""4.51.0"",
  ""use_cache"": true,
  ""use_sliding_window"": false,
  ""vocab_size"": 151936
}",L20,119.5,864.0,48.0,1,"1
","2025-10-09 19:51:21.000
    24.0
    2025-10-09 19:51:22.000
    16.9
    2025-10-09 19:51:23.000
    21.9
    2025-10-09 19:51:24.000
    18.0
    2025-10-09 19:51:25.000
    25.0
    2025-10-09 19:51:26.000
    21.9
    2025-10-09 19:51:27.000
    19.0
    2025-10-09 19:51:28.000
    21.0
    2025-10-09 19:51:29.000
    19.0
    2025-10-09 19:51:30.000
    22.9
    2025-10-09 19:51:31.000
    19.9","2025-10-09 19:51:21.000
    69.5
    2025-10-09 19:51:22.000
    57.3
    2025-10-09 19:51:23.000
    49.5
    2025-10-09 19:51:24.000
    49.8
    2025-10-09 19:51:25.000
    85.8
    2025-10-09 19:51:26.000
    103
    2025-10-09 19:51:27.000
    82.8
    2025-10-09 19:51:28.000
    64.2
    2025-10-09 19:51:29.000
    36.3
    2025-10-09 19:51:30.000
    59.5
    2025-10-09 19:51:31.000
    76.2",0.218,1,MagaEngine (Ant Group) / Custom FT-based,"A Qwen3-0.6bbased LLM inference service for user-GSID recommendation modeling, running on L20 GPU with INT8 quantization, optimized for high-concurrency real-time inference using MagaEngine and paged TRT FMHA, with model checkpoint and tokenizer loaded from OSS."
aisan-recall-llm-sft-v2-qwen3-4b-v2-offline-ea119-custom accelerator-2tp.ference-part0-2f2cc79c-a-e1ea,aisan_recall_llm_sft_v2_Qwen3_4B_v2_offline,qwen3-4B,10,49,"{
  ""architectures"": [
    ""Qwen3ForCausalLM""
  ],
  ""attention_bias"": false,
  ""attention_dropout"": 0.0,
  ""bos_token_id"": 151643,
  ""eos_token_id"": 151645,
  ""head_dim"": 128,
  ""hidden_act"": ""silu"",
  ""hidden_size"": 2560,
  ""initializer_range"": 0.02,
  ""intermediate_size"": 9728,
  ""max_position_embeddings"": 40960,
  ""max_window_layers"": 36,
  ""model_type"": ""qwen3"",
  ""num_attention_heads"": 32,
  ""num_hidden_layers"": 36,
  ""num_key_value_heads"": 8,
  ""rms_norm_eps"": 1e-06,
  ""rope_scaling"": null,
  ""rope_theta"": 1000000,
  ""sliding_window"": null,
  ""tie_word_embeddings"": true,
  ""torch_dtype"": ""bfloat16"",
  ""transformers_version"": ""4.51.0"",
  ""use_cache"": true,
  ""use_sliding_window"": false,
  ""vocab_size"": 151936
}",custom accelerator,118.0,2765.0,96.0,2,"2
","2025-10-11 20:13:50.000
    5
    2025-10-11 20:13:51.000
    0
    2025-10-11 20:13:52.000
    6
    2025-10-11 20:13:53.000
    2
    2025-10-11 20:13:54.000
    3
    2025-10-11 20:13:55.000
    6
    2025-10-11 20:13:56.000
    0
    2025-10-11 20:13:57.000
    2
    2025-10-11 20:13:58.000
    3
    2025-10-11 20:13:59.000
    2
    2025-10-11 20:14:00.000
    3","2025-10-11 20:13:50.000
    36.2
    2025-10-11 20:13:51.000
    246
    2025-10-11 20:13:52.000
    29.6
    2025-10-11 20:13:53.000
    13.9
    2025-10-11 20:13:54.000
    88.1
    2025-10-11 20:13:55.000
    24.4
    2025-10-11 20:13:57.000
    37.0
    2025-10-11 20:13:58.000
    31.2
    2025-10-11 20:13:59.000
    6.75
    2025-10-11 20:14:00.000
    31.9",0.86,2,MagaEngine (Ant Group) / Custom FT-based,"An SFT fine-tuned Qwen3-4B model serving as an agent for the 'Aisan' query recall system. It is deployed for offline batch processing, running with 2-way Tensor Parallelism on two custom accelerator GPUs and utilizing the MagaEngine inference framework."
bc-offline-recognize-all-industry-dxm-qwq32b-clone-na61-h20.inference-part0-70f34ebc-b-d478,bc_offline_recognize_all_industry_dxm_qwq32b_clone,QwQ-32B,70,89,"{
  ""architectures"": [
    ""Qwen2ForCausalLM""
  ],
  ""attention_dropout"": 0.0,
  ""bos_token_id"": 151643,
  ""eos_token_id"": 151645,
  ""hidden_act"": ""silu"",
  ""hidden_size"": 5120,
  ""initializer_range"": 0.02,
  ""intermediate_size"": 27648,
  ""max_position_embeddings"": 40960,
  ""max_window_layers"": 64,
  ""model_type"": ""qwen2"",
  ""num_attention_heads"": 40,
  ""num_hidden_layers"": 64,
  ""num_key_value_heads"": 8,
  ""rms_norm_eps"": 1e-05,
  ""rope_theta"": 1000000.0,
  ""sliding_window"": 32768,
  ""tie_word_embeddings"": false,
  ""torch_dtype"": ""bfloat16"",
  ""transformers_version"": ""4.43.1"",
  ""use_cache"": true,
  ""use_sliding_window"": false,
  ""vocab_size"": 152064
}",H20,148.0,4022.0,96.0,1,"1
","2025-10-07 12:00:08.000
    1
    2025-10-07 12:00:09.000
    2
    2025-10-07 12:00:10.000
    2
    2025-10-07 12:00:11.000
    0
    2025-10-07 12:00:12.000
    2
    2025-10-07 12:00:13.000
    2
    2025-10-07 12:00:14.000
    1
    2025-10-07 12:00:15.000
    0
    2025-10-07 12:00:16.000
    1
    2025-10-07 12:00:17.000
    0
    2025-10-07 12:00:18.000
    3","2025-10-07 12:00:08.000
    156
    2025-10-07 12:00:09.000
    185
    2025-10-07 12:00:10.000
    99.5
    2025-10-07 12:00:11.000
    441
    2025-10-07 12:00:12.000
    170
    2025-10-07 12:00:13.000
    145
    2025-10-07 12:00:14.000
    485
    2025-10-07 12:00:15.000
    161
    2025-10-07 12:00:16.000
    65
    2025-10-07 12:00:17.000
    64
    2025-10-07 12:00:18.000
    183",0.990,1,MagaEngine (Ant Group) / Custom FT-based,"An offline multi-industry business content understanding service based on QwQ-32B, enhanced with Chain-of-Thought reasoning (Think Mode). Deployed on H20 GPU via MagaEngine, it performs long-context analysis (up to 10K tokens) for knowledge extraction and intelligent decision support in enterprise scenarios."
bc-offline-recognize-fushi-industry-dxm-v1-na61-h20.ference-part0-29699645-b-3fbc,bc_offline_recognize_fushi_industry_dxm_v1,Qwen-7B-Chat-Pro-HF,10,147,"{
  ""_name_or_path"": ""./local_openlm/Qwen-7B-Chat-Pro-HF"",
  ""architectures"": [
    ""QWenLMHeadModel""
  ],
  ""attn_dropout_prob"": 0,
  ""auto_map"": {
    ""AutoConfig"": ""configuration_qwen.QWenConfig"",
    ""AutoModelForCausalLM"": ""modeling_qwen.QWenLMHeadModel""
  },
  ""bf16"": true,
  ""emb_dropout_prob"": 0,
  ""fp16"": false,
  ""fp32"": false,
  ""hidden_size"": 4096,
  ""initializer_range"": 0.02,
  ""intermediate_size"": 22016,
  ""kv_channels"": 128,
  ""layer_norm_epsilon"": 0.000001,
  ""max_position_embeddings"": 32768,
  ""model_type"": ""qwen"",
  ""no_bias"": true,
  ""num_attention_heads"": 32,
  ""num_hidden_layers"": 32,
  ""onnx_safe"": null,
  ""rope_theta"": 1000000,
  ""rotary_emb_base"": 1000000,
  ""rotary_pct"": 1,
  ""scale_attn_weights"": true,
  ""seq_length"": 32768,
  ""softmax_in_fp32"": false,
  ""tie_word_embeddings"": false,
  ""tokenizer_class"": ""QWenTokenizer"",
  ""torch_dtype"": ""bfloat16"",
  ""transformers_version"": ""4.43.0"",
  ""use_cache"": true,
  ""use_cache_kernel"": false,
  ""use_cache_quantization"": false,
  ""use_dynamic_ntk"": false,
  ""use_flash_attn"": false,
  ""use_logn_attn"": false,
  ""vocab_size"": 151936
}",H20,148.0,4022.0,96.0,1,"1
","2025-10-10 19:03:35.000
        14.0
        2025-10-10 19:03:36.000
        13.0
        2025-10-10 19:03:37.000
        12.0
        2025-10-10 19:03:38.000
        13.0
        2025-10-10 19:03:39.000
        14.0
        2025-10-10 19:03:40.000
        12.0
        2025-10-10 19:03:41.000
        14.0
        2025-10-10 19:03:42.000
        15.0
        2025-10-10 19:03:43.000
        16.0
        2025-10-10 19:03:44.000
        14.0
        2025-10-10 19:03:45.000
        14.0","2025-10-10 19:03:35.000
        566
        2025-10-10 19:03:36.000
        1.23 K
        2025-10-10 19:03:37.000
        585
        2025-10-10 19:03:38.000
        1.03 K
        2025-10-10 19:03:39.000
        492
        2025-10-10 19:03:40.000
        878
        2025-10-10 19:03:41.000
        532
        2025-10-10 19:03:42.000
        697
        2025-10-10 19:03:43.000
        770
        2025-10-10 19:03:44.000
        682
        2025-10-10 19:03:45.000
        685",0.980,1,MagaEngine (Ant Group) / Custom FT-based,"This is a Qwen-7B large language model service optimized for enterprise-level document fusion and content recognition, deployed on H20 GPU with real-time inference capabilities, designed for processing sensitive business data and ensuring compliance in dynamic cloud environments."
bc-offline-recognize-fushi-industry-dxm-v1-na61-h20.ference-part0-44703f7a-a-2053,bc_offline_recognize_fushi_industry_dxm_v1,Qwen-7B-Chat-Pro-HF,10,142,"{
  ""NVIDIA_H20_SXM5_96GB"": {""mem_bandwidth"": 4022 * (1024**3), ""FP16"": 148e12, ""INT8"": 296e12, ""memsize"": 96 * (1024**3), ""onchip_buffer"": 0, ""interconnect_bandwidth"": 900 * (1024**3)},
  ""gpu_type"": ""H20"",
  ""f_peak"": 148.0,  #""FP16的值""
  ""memory_bandwidth"": 4022.0,
  ""memory_size"": 96.0,
  ""n_gpu"": 1,
  ""tensor_parallelism"": 1
}",H20,148.0,4022.0,96.0,1,"1
","2025-10-12 15:18:03.000
    13
    2025-10-12 15:18:04.000
    12
    2025-10-12 15:18:05.000
    11
    2025-10-12 15:18:06.000
    16
    2025-10-12 15:18:07.000
    13
    2025-10-12 15:18:08.000
    14
    2025-10-12 15:18:09.000
    13
    2025-10-12 15:18:10.000
    17
    2025-10-12 15:18:11.000
    17
    2025-10-12 15:18:12.000
    15
    2025-10-12 15:18:13.000
    10","2025-10-12 15:18:03.000
    1.07 K
    2025-10-12 15:18:04.000
    435
    2025-10-12 15:18:05.000
    454
    2025-10-12 15:18:06.000
    802
    2025-10-12 15:18:07.000
    633
    2025-10-12 15:18:08.000
    480
    2025-10-12 15:18:09.000
    884
    2025-10-12 15:18:10.000
    784
    2025-10-12 15:18:11.000
    811
    2025-10-12 15:18:12.000
    462
    2025-10-12 15:18:13.000
    805",0.980,1,MagaEngine (Ant Group) / Custom FT-based,"A Qwen-7B 7B-parameter model specialized for offline industry classification and recognition tasks in e-commerce scenarios. It utilizes supervised fine-tuning (SFT) to process batch data for industry-specific categorization, optimized for deployment on H20 GPUs with MagaEngine acceleration for efficient inference."
bc-offline-recognize-fushi-industry-dxm-v1-na61-h20.ference-part0-b3ff7549-b-e8bd,bc_offline_recognize_fushi_industry_dxm_v1,Qwen-7B-Chat-Pro-HF,10,148,"{
  ""_name_or_path"": ""./local_openlm/Qwen-7B-Chat-Pro-HF"",
  ""architectures"": [
    ""QWenLMHeadModel""
  ],
  ""attn_dropout_prob"": 0,
  ""auto_map"": {
    ""AutoConfig"": ""configuration_qwen.QWenConfig"",
    ""AutoModelForCausalLM"": ""modeling_qwen.QWenLMHeadModel""
  },
  ""bf16"": true,
  ""emb_dropout_prob"": 0,
  ""fp16"": false,
  ""fp32"": false,
  ""hidden_size"": 4096,
  ""initializer_range"": 0.02,
  ""intermediate_size"": 22016,
  ""kv_channels"": 128,
  ""layer_norm_epsilon"": 0.000001,
  ""max_position_embeddings"": 32768,
  ""model_type"": ""qwen"",
  ""no_bias"": true,
  ""num_attention_heads"": 32,
  ""num_hidden_layers"": 32,
  ""onnx_safe"": null,
  ""rope_theta"": 1000000,
  ""rotary_emb_base"": 1000000,
  ""rotary_pct"": 1,
  ""scale_attn_weights"": true,
  ""seq_length"": 32768,
  ""softmax_in_fp32"": false,
  ""tie_word_embeddings"": false,
  ""tokenizer_class"": ""QWenTokenizer"",
  ""torch_dtype"": ""bfloat16"",
  ""transformers_version"": ""4.43.0"",
  ""use_cache"": true,
  ""use_cache_kernel"": false,
  ""use_cache_quantization"": false,
  ""use_dynamic_ntk"": false,
  ""use_flash_attn"": false,
  ""use_logn_attn"": false,
  ""vocab_size"": 151936
}",H20,148.0,4022.0,96.0,1,"1
","2025-10-12 12:38:57.000
    16
    2025-10-12 12:38:58.000
    6
    2025-10-12 12:38:59.000
    13
    2025-10-12 12:39:00.000
    10
    2025-10-12 12:39:01.000
    10
    2025-10-12 12:39:02.000
    15
    2025-10-12 12:39:03.000
    14
    2025-10-12 12:39:04.000
    10
    2025-10-12 12:39:05.000
    13
    2025-10-12 12:39:06.000
    13
    2025-10-12 12:39:07.000
    18","2025-10-12 12:38:57.000
    615
    2025-10-12 12:38:58.000
    327
    2025-10-12 12:38:59.000
    604
    2025-10-12 12:39:00.000
    475
    2025-10-12 12:39:01.000
    648
    2025-10-12 12:39:02.000
    458
    2025-10-12 12:39:03.000
    324
    2025-10-12 12:39:04.000
    614
    2025-10-12 12:39:05.000
    507
    2025-10-12 12:39:06.000
    659
    2025-10-12 12:39:07.000
    1.03 K",0.97,1,MagaEngine (Ant Group) / Custom FT-based,"An SFT fine-tuned Qwen-7B model designed for offline recognition and classification of business content within the fashion (fushi) industry. It supports an intelligent decision-making system, running on a single H20 GPU and leveraging MagaEngine for efficient large-scale batch processing."
bc-online-appeal-recognize-20250819-na61-h20.inference-part0-6d38cef5-b-4e34,bc_online_appeal_recognize_20250819,qwen2.5-1.5B-instruct,19,224,"{
  ""_name_or_path"": ""./local_aop_pytorch_hub_qwen2_5v_1_5b_instruct"",
  ""architectures"": [
    ""Qwen2ForCausalLM""
  ],
  ""attention_dropout"": 0,
  ""bos_token_id"": 151643,
  ""eos_token_id"": 151645,
  ""hidden_act"": ""silu"",
  ""hidden_size"": 1536,
  ""initializer_range"": 0.02,
  ""intermediate_size"": 8960,
  ""max_position_embeddings"": 32768,
  ""max_window_layers"": 21,
  ""model_type"": ""qwen2"",
  ""num_attention_heads"": 12,
  ""num_hidden_layers"": 28,
  ""num_key_value_heads"": 2,
  ""rms_norm_eps"": 0.000001,
  ""rope_theta"": 1000000,
  ""sliding_window"": null,
  ""tie_word_embeddings"": true,
  ""torch_dtype"": ""bfloat16"",
  ""transformers_version"": ""4.43.3"",
  ""use_cache"": true,
  ""use_sliding_window"": false,
  ""vocab_size"": 151936
}",H20,148.0,4022.0,96.0,1,"1 
","2025-10-12 19:25:28.000
  17
  2025-10-12 19:25:29.000
  10
  2025-10-12 19:25:30.000
  10
  2025-10-12 19:25:31.000
  8
  2025-10-12 19:25:32.000
  10
  2025-10-12 19:25:33.000
  13
  2025-10-12 19:25:34.000
  16
  2025-10-12 19:25:35.000
  10
  2025-10-12 19:25:36.000
  14
  2025-10-12 19:25:37.000
  11
  2025-10-12 19:25:38.000
  13","2025-10-12 19:25:28.000
  24.5
  2025-10-12 19:25:29.000
  42
  2025-10-12 19:25:30.000
  42.9
  2025-10-12 19:25:31.000
  57.4
  2025-10-12 19:25:32.000
  54.1
  2025-10-12 19:25:33.000
  36.7
  2025-10-12 19:25:34.000
  37.3
  2025-10-12 19:25:35.000
  38.1
  2025-10-12 19:25:36.000
  50.4
  2025-10-12 19:25:37.000
  51.2
  2025-10-12 19:25:38.000
  42.2",0.193,1,MagaEngine (Ant Group) / Custom FT-based,"A Qwen2-1B model specialized for online appeal recognition in document processing (PDFUSION), performing text generation and inference tasks with INT8/FP16 precision on a single H20 GPU, optimized for low-latency real-time processing in an SFT-finetuned deployment."
bc-online-appeal-recognize-20250819-na61-h20.inference-part0-b4554bfb-b-67fc,bc_online_appeal_recognize_20250819,qwen2.5-1.5B-instruct,20,166,"{
  ""_name_or_path"": ""./local_aop_pytorch_hub_qwen2_5v_1_5b_instruct"",
  ""architectures"": [
    ""Qwen2ForCausalLM""
  ],
  ""attention_dropout"": 0,
  ""bos_token_id"": 151643,
  ""eos_token_id"": 151645,
  ""hidden_act"": ""silu"",
  ""hidden_size"": 1536,
  ""initializer_range"": 0.02,
  ""intermediate_size"": 8960,
  ""max_position_embeddings"": 32768,
  ""max_window_layers"": 21,
  ""model_type"": ""qwen2"",
  ""num_attention_heads"": 12,
  ""num_hidden_layers"": 28,
  ""num_key_value_heads"": 2,
  ""rms_norm_eps"": 0.000001,
  ""rope_theta"": 1000000,
  ""sliding_window"": null,
  ""tie_word_embeddings"": true,
  ""torch_dtype"": ""bfloat16"",
  ""transformers_version"": ""4.43.3"",
  ""use_cache"": true,
  ""use_sliding_window"": false,
  ""vocab_size"": 151936
}",H20,148.0,4022.0,96.0,1,"1 
","2025-10-10 12:10:43.000
    7.99
    2025-10-10 12:10:44.000
    11.0
    2025-10-10 12:10:45.000
    8.99
    2025-10-10 12:10:46.000
    6.99
    2025-10-10 12:10:47.000
    14.0
    2025-10-10 12:10:48.000
    9.99
    2025-10-10 12:10:49.000
    2.00
    2025-10-10 12:10:50.000
    8.99
    2025-10-10 12:10:51.000
    6.99
    2025-10-10 12:10:52.000
    5.00
    2025-10-10 12:10:53.000
    4.00","2025-10-10 12:10:43.000
    41.1
    2025-10-10 12:10:44.000
    45.6
    2025-10-10 12:10:45.000
    37.3
    2025-10-10 12:10:46.000
    14.2
    2025-10-10 12:10:47.000
    57.3
    2025-10-10 12:10:48.000
    42.3
    2025-10-10 12:10:49.000
    22.5
    2025-10-10 12:10:50.000
    70.4
    2025-10-10 12:10:51.000
    41.6
    2025-10-10 12:10:52.000
    71.4
    2025-10-10 12:10:53.000
    28.1",0.150,1,MagaEngine (Ant Group) / Custom FT-based,"This is a Qwen2-1B inference service deployed on H20 GPUs with 1-GPU tensor parallelism (TP=1) for document understanding and enterprise-level PDFUSION tasks, optimized for low-latency batch inference with FP16/INT8 quantization, PagedAttention, and FUSE-based remote model loading in a Kubernetes environment with GPU resource isolation and backup pod redundancy."
bc-online-question-appeal-recognize-na61-h20.inference-part0-2853f765-a-3f16,bc_online_question_appeal_recognize,Qwen-1.8B-Chat,9,191,"{
  ""NVIDIA_H20_SXM5_96GB"": {""mem_bandwidth"": 4022 * (1024**3), ""FP16"": 148e12, ""INT8"": 296e12, ""memsize"": 96 * (1024**3), ""onchip_buffer"": 0, ""interconnect_bandwidth"": 900 * (1024**3)},
  ""gpu_type"": ""H20"",
  ""f_peak"": 148.0,  #""FP16的值""
  ""memory_bandwidth"": 4022.0,
  ""memory_size"": 96.0,
  ""n_gpu"": 1,
  ""tensor_parallelism"": 1
}",H20,148.0,4022.0,96.0,1,"1
","2025-10-12 15:52:53.000
    24
    2025-10-12 15:52:54.000
    20
    2025-10-12 15:52:55.000
    16
    2025-10-12 15:52:56.000
    15
    2025-10-12 15:52:57.000
    17
    2025-10-12 15:52:58.000
    22
    2025-10-12 15:52:59.000
    22
    2025-10-12 15:53:00.000
    18
    2025-10-12 15:53:01.000
    19
    2025-10-12 15:53:02.000
    18
    2025-10-12 15:53:03.000
    17","2025-10-12 15:52:53.000
    102
    2025-10-12 15:52:54.000
    89.3
    2025-10-12 15:52:55.000
    132
    2025-10-12 15:52:56.000
    112
    2025-10-12 15:52:57.000
    125
    2025-10-12 15:52:58.000
    93.3
    2025-10-12 15:52:59.000
    76.3
    2025-10-12 15:53:00.000
    113
    2025-10-12 15:53:01.000
    71.5
    2025-10-12 15:53:02.000
    74.1
    2025-10-12 15:53:03.000
    52.3",0.270,1,MagaEngine (Ant Group) / Custom FT-based,"A Qwen-based 1B-parameter model specialized for real-time online question appeal recognition in e-commerce platforms. It employs supervised fine-tuning (SFT) to identify and categorize user appeals with natural language justifications, optimized for deployment on H20 GPUs with MagaEngine acceleration for low-latency inference."
