pod_name,model_name,batch_size,token_size,GPU_type,iteration,GPU_util,qps,seq_len,FPR
Llama-3.1-8B_batch128_input128_output10,Llama-3.1-8B,128,16384,A100,10,98.43,128,128,2.39923125
Llama-3.2-3B_batch128_input128_output10,Llama-3.2-3B,128,16384,A100,10,96.87,128,128,2.36120625
Qwen2.5-14B_batch128_input128_output10,Qwen2.5-14B,128,16384,A100,10,98.97,128,128,2.41239375
Qwen2.5-32B_batch8_input128_output10,Qwen2.5-32B,8,1024,A100,10,96.63,8,128,37.6857
Qwen2.5-32B_batch4_input2048_output10,Qwen2.5-32B,4,8192,A100,10,98.99,4,2048,77.2122
Qwen2.5-3B_batch128_input128_output10,Qwen2.5-3B,128,16384,A100,10,96.6,128,128,2.354625
Qwen2.5-3B_batch1_input1024_output10,Qwen2.5-3B,1,1024,A100,10,56.55,1,1024,176.436
Qwen2.5-7B_batch4_input2048_output10,Qwen2.5-7B,4,8192,A100,10,96.74,4,2048,75.4572
Qwen2.5-7B_batch8_input1024_output10,Qwen2.5-7B,8,8192,A100,10,96.96,8,1024,37.8144
Qwen3-14B_batch4_input2048_output10,Qwen3-14B,4,8192,A100,10,97.89,4,2048,76.3542
Qwen3-14B_batch8_input1024_output10,Qwen3-14B,8,8192,A100,10,97.87,8,1024,38.1693
Qwen3-30B-A3B_batch8_input2048_output10,Qwen3-30B-A3B,8,16384,A100,10,96.67,8,2048,37.7013
Qwen3-30B-A3B_batch1_input2048_output10,Qwen3-30B-A3B,1,2048,A100,10,86.1,1,2048,268.632
Qwen3-32B_batch4_input2048_output10,Qwen3-32B,4,8192,A100,10,99.27,4,2048,77.4306
Qwen3-32B_batch8_input1024_output10,Qwen3-32B,8,8192,A100,10,99.34,8,1024,38.7426
Qwen3-4B_batch128_input128_output10,Qwen3-4B,128,16384,A100,10,97.94,128,128,2.3872875
Qwen3-8B_batch128_input128_output10,Qwen3-8B,128,16384,A100,10,98.58,128,128,2.4028875
Llama-3.1-8B_batch128_input128_output10,Llama-3.1-8B,128,16384,A800,10,98.31,128,128,2.39630625
Llama-3.2-3B_batch128_input128_output10,Llama-3.2-3B,128,16384,A800,10,96.73,128,128,2.35779375
Qwen2.5-14B_batch128_input128_output10,Qwen2.5-14B,128,16384,A800,10,98.97,128,128,2.41239375
Qwen2.5-32B_batch8_input128_output10,Qwen2.5-32B,8,1024,A800,10,96.63,8,128,37.6857
Qwen2.5-32B_batch4_input2048_output10,Qwen2.5-32B,4,8192,A800,10,98.99,4,2048,77.2122
Qwen2.5-3B_batch128_input128_output10,Qwen2.5-3B,128,16384,A800,10,96.6,128,128,2.354625
Qwen2.5-3B_batch1_input1024_output10,Qwen2.5-3B,1,1024,A800,10,56.55,1,1024,176.436
Qwen2.5-7B_batch4_input2048_output10,Qwen2.5-7B,4,8192,A800,10,96.74,4,2048,75.4572
Qwen2.5-7B_batch8_input1024_output10,Qwen2.5-7B,8,8192,A800,10,96.96,8,1024,37.8144
Qwen3-14B_batch4_input2048_output10,Qwen3-14B,4,8192,A800,10,97.89,4,2048,76.3542
Qwen3-14B_batch8_input1024_output10,Qwen3-14B,8,8192,A800,10,97.87,8,1024,38.1693
Qwen3-32B_batch4_input2048_output10,Qwen3-32B,4,8192,A800,10,99.27,4,2048,77.4306
Qwen3-32B_batch8_input1024_output10,Qwen3-32B,8,8192,A800,10,99.34,8,1024,38.7426
Qwen3-4B_batch128_input128_output10,Qwen3-4B,128,16384,A800,10,97.94,128,128,2.3872875
Qwen3-8B_batch128_input128_output10,Qwen3-8B,128,16384,A800,10,98.58,128,128,2.4028875
Llama-3.1-70B_batch128_input128_output10_decode,Llama-3.1-70B,128,16384,H20,10,92.07,128,128,1.064559375
Llama-3.1-70B_batch128_input128_output10_prefill,Llama-3.1-70B,128,16384,H20,10,99.79,128,128,1.153821875
Llama-3.1-8B_batch128_input128_output10,Llama-3.1-8B,128,16384,H20,10,98.24,128,128,1.1359
