pod_name,model_name,batch_size,token_size,GPU_type,iteration,GPU_util,qps,seq_len,FPR
Llama-3.1-8B_batch128_input1024_output10,Llama-3.1-8B,128,131072,A100,10,91.99,128,1024,2.24225625
Llama-3.1-8B_batch8_input128_output10,Llama-3.1-8B,8,1024,A100,10,81.37,8,128,31.734300000000005
Llama-3.2-3B_batch128_input1024_output10,Llama-3.2-3B,128,131072,A100,10,86.41,128,1024,2.10624375
Llama-3.2-3B_batch8_input128_output10,Llama-3.2-3B,8,1024,A100,10,54.65,8,128,21.3135
Qwen2.5-14B_batch128_input1024_output10,Qwen2.5-14B,128,131072,A100,10,95.41,128,1024,2.32561875
Qwen2.5-14B_batch8_input128_output10,Qwen2.5-14B,8,1024,A100,10,86.34,8,128,33.6726
Qwen2.5-32B_batch128_input1024_output10,Qwen2.5-32B,128,131072,A100,10,97.06,128,1024,2.3658375
Qwen2.5-32B_batch8_input128_output10,Qwen2.5-32B,8,1024,A100,10,92.23,8,128,35.9697
Qwen2.5-3B_batch128_input1024_output10,Qwen2.5-3B,128,131072,A100,10,89.99,128,1024,2.19350625
Qwen2.5-3B_batch8_input128_output10,Qwen2.5-3B,8,1024,A100,10,60.39,8,128,23.5521
Qwen2.5-7B_batch128_input1024_output10,Qwen2.5-7B,128,131072,A100,10,95.78,128,1024,2.3346375
Qwen2.5-7B_batch8_input128_output10,Qwen2.5-7B,8,1024,A100,10,78.71,8,128,30.696899999999996
Qwen3-14B_batch128_input1024_output10,Qwen3-14B,128,131072,A100,10,97.7,128,1024,2.3814375
Qwen3-14B_batch8_input128_output10,Qwen3-14B,8,1024,A100,10,89.97,8,128,35.0883
Qwen3-30B-A3B_batch128_input1024_output10,Qwen3-30B-A3B,128,131072,A100,10,96.05,128,1024,2.34121875
Qwen3-30B-A3B_batch8_input128_output10,Qwen3-30B-A3B,8,1024,A100,10,31.42,8,128,12.253800000000002
Qwen3-4B_batch128_input1024_output10,Qwen3-4B,128,131072,A100,10,92.61,128,1024,2.25736875
Qwen3-4B_batch8_input128_output10,Qwen3-4B,8,1024,A100,10,70.37,8,128,27.4443
